Electrical Engineering ,,
INTR-D 187,Freshman Seminar I,2
ENGL 101 ,Freshman English I ,3
MATH 140 ,Calculus I,4
ENGIN 104,Intro to ECE ,3
GEN ED,General Education Biology,3
ENGIN 231,Circuit Analysis I,3
ENGIN 271,Circuits Lab I,1
ENGIN 211L,Engineering Mathematics,3
MATH 242,Multivariable & Vector Calculus,4
PHY 114,Fundamentals of Physics II ,4
PHY 182,Physics Lab II ,2
ENGIN 365,Electronics I with Lab,4
ENGIN 321,Signals and Systems,3
ENGIN 331,Fields and Waves,3
MATH 270,Differential Equations,3
GEN ED,General Education,3
ENGIN 491,Senior Design Project I,4
ECE Elective,ECE Elective (2),3
ECE Elective,ECE Elective (3),3
THEM Elective,Thematic Elective (2),3
GEN ED,General Education,3
INTR-D 188,Freshman Seminar II,2
ENGL 102,Freshman English II ,3
MATH 141,Calculus II,4
PHY 113,Fundamentals of Physics I ,4
PHY 181,Physics Lab I,2
ENGIN 232,Circuit Analysis II,3
ENGIN 272,Basics Circuit Lab II,3
ENGIN 241,Digital Systems with Lab,4
Math 260,Linear Algebra,3
CS 109 C,Programming for Engineering,3
INTR-D 189,Intermediate Seminar ,3
ENGIN 366,Electronics II with Lab,4
ENGIN 322,Prob & Random Proc,3
ECE Elective,ECE Elective (1),3
THEM Elective,Thematic Elective (1) ,3
GEN ED,General Education,3
ENGIN 492,Senior Design Project II,4
ECE Elective,ECE Elective (4),3
ECE Elective,ECE Elective (5) or Thematic Elective (3),3
ECE Elective,ECE Elective (6) or Thematic Elective (4),3
GEN ED,General Education,3
